Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
920,Elitjia,Family Outstation,10,-23.77677,133.61583,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
12641,Elliott,Village,337,-17.5527,133.5408,BARKLY,1,1,1,1,1,1,1,1,1,1
57,Five Mile,Family Outstation,5,-23.91848,132.84834,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
12769,Five Mile,Family Outstation,27,-13.72684,130.71831,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
807,Galawarra,Family Outstation,0,-12.0444,135.59373,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
489,Galawdjapin,Family Outstation,14,-12.28695,134.81751,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
963,Garanydjirr,Family Outstation,7,-12.28204,135.02095,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
804,Gutjangan,Family Outstation,31,-12.0839,136.80857,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
973,Hingstons Place,Family Outstation,0,-19.61773,134.19703,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
800,Hunters Camp,Family Outstation,4,-12.65001,132.8291,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
52,Importna,Family Outstation,5,-23.94048,132.74341,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
932,Inbina Atwatye,Family Outstation,5,-23.74118,133.71324,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
82,Inkwelaye,Family Outstation,25,-22.07951,134.83153,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
771,Ipalala,Family Outstation,3,-23.92556,132.67808,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
921,Irriltyere (A),Family Outstation,6,-23.75129,133.69467,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
922,Irriltyere (B),Family Outstation,9,-23.76105,133.68564,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
935,Itchy Koo Park,Family Outstation,46,-23.76667,133.65816,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
923,Iteyepintye,Family Outstation,45,-23.76466,133.59994,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
924,Itperlyenge,Family Outstation,0,-23.76361,133.61103,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
824,Jemelke,Family Outstation,4,-21.53389,133.87473,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
67,Kaporilya,Family Outstation,14,-23.93974,132.72029,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
