Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
41,Haasts Bluff,6,,tertiary,806407609,-11011.63,-2528792.19,0,711128,711128,EXTERNAL_EXIT
41,Haasts Bluff,7,,track,143126485,-11164.1,-2528192.03,101,18,711128,LOCAL_OR_DEAD_END
43,Hermannsburg,1,Finke Four Wheel Drive Route,unclassified,93638831,79358,-2584773.37,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,2,,unclassified,1223940725,78962.5,-2585241.18,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,3,Larapinta Drive,primary,227896715,78196.27,-2585364.55,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,4,Larapinta Drive,primary,227896707,79421.49,-2584251.83,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,5,,track,1223940779,77476.37,-2584102.68,146,6,710753,LOCAL_OR_DEAD_END
43,Hermannsburg,6,,service,467409355,77729.41,-2583683.76,59,52,710753,LOCAL_OR_DEAD_END
43,Hermannsburg,7,,service,467409355,77664.44,-2583754.73,59,52,710753,LOCAL_OR_DEAD_END
43,Hermannsburg,8,,track_grade2,777680340,79208.96,-2583763.9,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,9,,track,1223940709,78512.53,-2583398.07,0,710753,710753,EXTERNAL_EXIT
43,Hermannsburg,10,,track,1223940706,78028.28,-2583480.65,59,52,710753,LOCAL_OR_DEAD_END
43,Hermannsburg,11,,track,1223940753,78010.99,-2583488.83,59,52,710753,LOCAL_OR_DEAD_END
43,Hermannsburg,12,,track,93783958,77484.28,-2584080.58,0,710753,710753,EXTERNAL_EXIT
600,Hodgson River Station,1,,track_grade3,448299769,226277.16,-1655561.12,86,25,711213,LOCAL_OR_DEAD_END
600,Hodgson River Station,2,Hodgson River Road,unclassified,224736956,225890.26,-1655650.76,0,711213,711213,EXTERNAL_EXIT
600,Hodgson River Station,3,Hodgson River Road,unclassified,224736956,225871.19,-1657459.79,0,711213,711213,EXTERNAL_EXIT
250,Imangara,1,,residential,320800560,276816.94,-2264860.85,0,711187,711187,EXTERNAL_EXIT
250,Imangara,2,,residential,320800559,276368.81,-2264752.78,0,711187,711187,EXTERNAL_EXIT
250,Imangara,3,,track,422803467,277747.03,-2264232.9,0,711187,711187,EXTERNAL_EXIT
250,Imangara,4,,track,422803467,277010.87,-2262879.66,0,711187,711187,EXTERNAL_EXIT
250,Imangara,5,,track,422803467,276858.06,-2262862.87,0,711187,711187,EXTERNAL_EXIT
250,Imangara,6,,unclassified,422803468,275975.16,-2263326.54,0,711187,711187,EXTERNAL_EXIT
51,Imanpa,1,Imanpa Road,unclassified,208044803,56998.51,-2718305.45,0,710966,710966,EXTERNAL_EXIT
51,Imanpa,2,,track_grade3,208044501,56794.03,-2718321.4,0,710966,710966,EXTERNAL_EXIT
51,Imanpa,3,,track_grade4,474805901,57698.21,-2716848.95,139,7,710966,LOCAL_OR_DEAD_END
51,Imanpa,4,Gully Road,track_grade3,1367268133,56635.04,-2716339.92,30,135,710966,LOCAL_OR_DEAD_END
51,Imanpa,5,Waterhole Road,track,745928307,56879.03,-2716325.58,30,135,710966,LOCAL_OR_DEAD_END
51,Imanpa,6,Gully Road,track_grade3,1367268135,56430.4,-2716400.82,30,135,710966,LOCAL_OR_DEAD_END
51,Imanpa,7,Waterhole Road,track,1367268130,56875.52,-2716325.41,30,135,710966,LOCAL_OR_DEAD_END
51,Imanpa,8,Bore Access,track_grade3,208044818,56403.66,-2716413.47,73,34,710966,LOCAL_OR_DEAD_END
63,Irrultja,1,,track_grade5,458467572,318500.13,-2369593.96,0,711154,711154,EXTERNAL_EXIT
63,Irrultja,2,Binns Track,unclassified,446453437,318930.62,-2367642.91,0,711154,711154,EXTERNAL_EXIT
63,Irrultja,3,,track_grade3,776436286,319653.92,-2368879.41,0,711154,711154,EXTERNAL_EXIT
63,Irrultja,4,,unclassified,322007963,318580.81,-2367619.2,0,711154,711154,EXTERNAL_EXIT
593,Jilkminggan,1,,tertiary,1545407520,141693.78,-1587944.46,0,710784,710784,EXTERNAL_EXIT
593,Jilkminggan,2,,unclassified,769940403,141714.96,-1587928.75,57,62,710784,LOCAL_OR_DEAD_END
593,Jilkminggan,3,,unclassified,422688295,140093.88,-1587081.31,34,122,710784,LOCAL_OR_DEAD_END
593,Jilkminggan,4,,track_grade3,422688289,140357.18,-1586470.22,71,42,710784,LOCAL_OR_DEAD_END
603,Kalkarindji,1,,unclassified,769267652,-124953.08,-1862269.23,0,710864,710864,EXTERNAL_EXIT
