Community_ID,Community,exit_number,osm_id,road_name,fclass,graph_node_x,graph_node_y,status
33,Engawala,2,1389719838,Pastoral Road,unclassified,249299.99,-2459908.75,NEW NODE
33,Engawala,3,446798746,Cemetery Drive,track_grade2,249734.37,-2460019.88,NEW NODE
33,Engawala,4,1389719835,Engawala Access,unclassified,250594.16,-2459571.02,NEW NODE
36,Finke,1,476916728,,track_grade3,255579.47,-2769408.05,NEW NODE
36,Finke,2,1201085700,Old Ghan Heritage Trail,track,255633.57,-2769386.07,NEW NODE
36,Finke,3,222316945,,track,255245.86,-2769649.28,NEW NODE
36,Finke,4,93976612,Finke Road,tertiary,255618.77,-2771250.98,NEW NODE
36,Finke,5,1201022886,,service,256302.75,-2771268.25,NEW NODE
36,Finke,6,354811812,,tertiary,256142.77,-2771307.48,NEW NODE
498,Gan Gan,1,447666816,,track_grade5,433899.08,-1385573.14,NEW NODE
498,Gan Gan,2,447666813,,track_grade4,434471.91,-1383696.33,NEW NODE
498,Gan Gan,3,174685400,,unclassified,434956.38,-1383882.42,NEW NODE
500,Gapuwiyak,1,207544306,Gapuwiyak Road,tertiary,421632.6,-1325938.92,NEW NODE
500,Gapuwiyak,2,1220373073,,track,421513.49,-1326030.26,NEW NODE
500,Gapuwiyak,3,776466755,Rubbish Dump,service,421967.18,-1325243.89,NEW NODE
500,Gapuwiyak,4,1220373109,,track,421630.61,-1324442.68,NEW NODE
500,Gapuwiyak,5,1220373107,,track,421457.02,-1324319.29,NEW NODE
500,Gapuwiyak,6,1335603143,Barge Landing Road,tertiary,420233.41,-1324516.84,NEW NODE
319,Gochan Jiny Jirra,1,213565376,,track,271512.85,-1288293.1,NEW NODE
319,Gochan Jiny Jirra,2,213565347,,track,273150.92,-1287776.45,NEW NODE
319,Gochan Jiny Jirra,3,213565365,,track,271834.54,-1287763.09,NEW NODE
329,Gunbalanya,1,198378953,Jabiru Oenpelli Road,tertiary,116038.56,-1300259.43,NEW NODE
329,Gunbalanya,2,241565361,,tertiary,116762,-1300905.33,NEW NODE
329,Gunbalanya,3,241565372,,unclassified,116275.24,-1300638.36,NEW NODE
329,Gunbalanya,4,1396715418,,unclassified,116008,-1300153.88,NEW NODE
329,Gunbalanya,5,1396715417,,unclassified,115994.68,-1300083.43,NEW NODE
514,Gunyangara,1,1220020076,,track,521285.29,-1298207.98,NEW NODE
514,Gunyangara,2,446277111,Dhabuynga Road,living_street,520881.87,-1297947.24,NEW NODE
514,Gunyangara,3,446277097,,track_grade1,521993.81,-1296340,NEW NODE
514,Gunyangara,4,253529575,Drimmie Head Road,tertiary,521960.29,-1296327.88,NEW NODE
514,Gunyangara,5,253529575,Drimmie Head Road,tertiary,521139.47,-1298145.68,NEW NODE
514,Gunyangara,6,1220020058,,track,521076.98,-1296418.41,NEW NODE
517,Gurrumuru,1,62278260,,unclassified,468410.55,-1337078.73,NEW NODE
517,Gurrumuru,2,447980463,,track,467150.22,-1335533.71,NEW NODE
