Community_ID,Community,exit_number,osm_id,road_name,fclass,exit_x,exit_y
36,Finke,1,476916728,,track_grade3,255579.4663858463,-2769408.0487107146
36,Finke,2,1201085700,Old Ghan Heritage Trail,track,255633.5677122963,-2769386.072413778
36,Finke,3,222316945,,track,255245.86491893374,-2769649.2814517636
36,Finke,4,93976612,Finke Road,tertiary,255618.77028412846,-2771250.980542415
36,Finke,5,1201022886,,service,256302.74896267947,-2771268.247241922
36,Finke,6,354811812,,tertiary,256142.77318584805,-2771307.4779539136
498,Gan Gan,1,447666816,,track_grade5,433899.082042357,-1385573.1413255443
498,Gan Gan,2,447666813,,track_grade4,434471.91107739165,-1383696.3308334798
498,Gan Gan,3,174685400,,unclassified,434956.37710330874,-1383882.4180087997
500,Gapuwiyak,1,207544306,Gapuwiyak Road,tertiary,421632.5983684919,-1325938.9159737916
500,Gapuwiyak,2,1220373073,,track,421513.4873939198,-1326030.2588852395
500,Gapuwiyak,3,776466755,Rubbish Dump,service,421967.18207032233,-1325243.8887681745
500,Gapuwiyak,4,1220373109,,track,421630.612586244,-1324442.6829312653
500,Gapuwiyak,5,1220373107,,track,421457.0162849862,-1324319.2923478219
500,Gapuwiyak,6,1335603143,Barge Landing Road,tertiary,420233.4136952009,-1324516.8379404407
319,Gochan Jiny Jirra,1,213565376,,track,271512.84671595215,-1288293.0990515645
319,Gochan Jiny Jirra,2,213565347,,track,273150.91783701984,-1287776.4497751403
319,Gochan Jiny Jirra,3,213565365,,track,271834.53869413486,-1287763.0928844593
329,Gunbalanya,1,198378953,Jabiru Oenpelli Road,tertiary,116038.56080022763,-1300259.4272896838
329,Gunbalanya,2,241565361,,tertiary,116762.00339669452,-1300905.3316091532
329,Gunbalanya,3,241565372,,unclassified,116275.23517830452,-1300638.3627062591
329,Gunbalanya,4,1396715418,,unclassified,116008.00072526882,-1300153.8849134615
329,Gunbalanya,5,1396715417,,unclassified,115994.68290391569,-1300083.4344614504
514,Gunyangara,1,1220020076,,track,521285.2881711317,-1298207.975572851
514,Gunyangara,2,446277111,Dhabuynga Road,living_street,520881.874359267,-1297947.2353164547
514,Gunyangara,3,446277097,,track_grade1,521993.8087068892,-1296340.0008694953
514,Gunyangara,4,253529575,Drimmie Head Road,tertiary,521960.28828606,-1296327.8827677327
514,Gunyangara,5,253529575,Drimmie Head Road,tertiary,521139.4668864982,-1298145.6779145538
514,Gunyangara,6,1220020058,,track,521076.97836652683,-1296418.4126504455
517,Gurrumuru,1,62278260,,unclassified,468410.5518268402,-1337078.7276213078
517,Gurrumuru,2,447980463,,track,467150.2192851471,-1335533.7085254155
517,Gurrumuru,3,447980467,,track_grade5,468617.37007906276,-1335881.6166264773
517,Gurrumuru,4,447980466,,track_grade5,468652.8687777671,-1335956.672318812
41,Haasts Bluff,1,143126469,,unclassified,-12591.780064495963,-2529537.0405475018
41,Haasts Bluff,2,215310464,,unclassified,-12685.765504786605,-2529460.2573187165
41,Haasts Bluff,3,456153323,,service,-11903.141322253861,-2529720.314742284
