Community_ID,Community,Population,Accessible by road,osm_id,name,fclass,road_distance_m,component_id,component_size
642,Rockhole,115,1,458776623,,service,20.00276498,0,710399
407,Paru,3,0.5,457176420,Paru Milikapiti Road,unclassified,20.11882678,2,5790
595,Manyallaluk,121,1,203879223,,residential,20.14369601,0,710399
586,Bulla,77,1,173590142,Janyima Road,residential,20.3497835,0,710399
375,Minjilang,311,0,184791316,,residential,21.07706875,6,1577
641,Rittarangu,139,1,242190310,,residential,21.33031053,0,710399
51,Imanpa,146,1,208044515,Waterhole Road,residential,21.35324394,0,710399
23547,Mataranka,384,1,117058673,Warloch Street,residential,21.75796997,0,710399
981,Djirrbiyak,0,1,445554024,,residential,22.39995546,0,710399
489,Galawdjapin,14,1,447412014,,unclassified,22.4302055,0,710399
555,Umbakumba,492,0,96104004,Membirradikba Street,residential,22.61866563,1,7681
128,Nyirripi,295,1,1410831218,Church Street,residential,22.91294664,0,710399
67,Kaporilya,14,1,93774164,,track,22.94525708,0,710399
391,Kungarrewarl,2,1,444247571,,track_grade3,23.10136277,0,710399
875,Mount Twellar,17,1,446455293,,track_grade4,23.15821029,0,710399
968,Armorran,7,1,440558396,,track_grade5,23.20706112,0,710399
923,Iteyepintye,45,1,448898027,,service,23.3891013,0,710399
258,Robinson River,211,1,379428386,,residential,23.42750903,0,710399
926,Payeperrentye (B),2,1,450575036,,unclassified,23.78592377,0,710399
404,Nganmarriyanga,427,1,323254506,,unclassified,23.94325348,0,710399
469,Rorruwuy,40,1,455250124,,track_grade4,24.07460365,0,710399
57,Five Mile,5,1,1223940767,,track,24.08892553,0,710399
762,Tjintirtjintirpa,0,1,143122348,,track,24.09312059,0,710399
168,Arlparra,108,1,920025218,,residential,24.39671195,0,710399
587,Bulman,190,1,442874235,,residential,25.36344509,0,710399
517,Gurrumuru,34,1,447980462,,track_grade2,25.86957753,0,710399
711,Undoolya Bore,25,1,460320738,,track_grade3,25.99712179,0,710399
524,Mapuru,97,1,447694295,,unclassified,26.19146694,0,710399
329,Gunbalanya,1354,1,241565355,,residential,26.77557195,0,710399
897,Mandedjkadjang,0,1,447934883,,service,27.18724956,0,710399
20,Areyonga,277,1,227775403,Utju Drive,residential,27.37051655,0,710399
63,Irrultja,45,1,322007963,,unclassified,27.55422456,0,710399
145,Santa Teresa,708,1,172864514,,residential,27.67596667,0,710399
10153,Adelaide River,0,1,175306288,Becker Street,residential,27.69585257,0,710399
868,Wurankuwu,22,0.5,399861905,Ranku Road,secondary,27.70251004,3,4864
580,Barunga,396,1,370569904,Ngalakan Street,residential,28.20767006,0,710399
973,Hingstons Place,0,1,776554261,,service,28.5938061,0,710399
919,Arrillhjere,4,1,440574356,,unclassified,28.83375105,0,710399
800,Hunters Camp,4,1,448307685,,unclassified,28.97857396,0,710399
569,Yanungbi,15,1,47067247,Scout Camp Road,unclassified,29.00026368,0,710399
664,Dhudupu,0,0.5,1410520098,,track_grade3,29.62686539,5,1939
581,Wugularr,636,1,29226653,Ngalagan Street,residential,29.84691322,0,710399
522,Malkala,94,0.5,452222098,,residential,30.09474765,1,7681
264,Tara,60,1,321679777,,residential,31.20213432,0,710399
451,Angurugu,1037,0,241089631,,tertiary,31.61015936,1,7681
817,Wurlbu,5,1,456938921,,service,31.65406032,0,710399
127,Nturiya,77,1,321690639,,residential,31.99018545,0,710399
275,Wollogorang,2,1,446456528,,track_grade4,32.76716352,0,710399
138,Pmara Jutunta,169,1,226561181,Glenn Street,residential,33.88438106,0,710399
544,Ngayawilli,9,0.5,447212162,,track_grade4,34.77703424,5,1939
72,Kintore,493,1,185819810,,residential,35.35507152,0,710399
280,Alamirra,6,0.5,236956820,,track,35.70667766,6,1577
571,Yathalamarra,67,1,461805626,,residential,35.82385617,0,710399
219,Canteen Creek,190,1,320734778,Ingkerrenh Street,residential,36.00789764,0,710399
760,Ulambara,6,1,460295724,,unclassified,36.71171717,0,710399
202,Ali Curung,463,1,320750386,Jungarrayi Street,residential,37.18037353,0,710399
608,Kybrook Farm,0,1,776214655,,unclassified,37.7294624,0,710399
146,Atnarara,68,1,440735764,,service,38.05083024,0,710399
34,Eight Mile,0,1,446597492,,track_grade3,38.58334935,0,710399
